study	arch	fn	compute_bytes
r92_floor	applegpu_g16s	floor_buf1	1520
r92_floor	applegpu_g16s	floor_buf2	1520
r92_floor	applegpu_g16s	floor_buf4	1600
r92_floor	applegpu_g16s	floor_buf4_bf16	1616
r92_floor	applegpu_g16s	floor_buf4_bf16_simd	1664
r92_floor	applegpu_g17s	floor_buf1	1504
r92_floor	applegpu_g17s	floor_buf2	1504
r92_floor	applegpu_g17s	floor_buf4	1584
r92_floor	applegpu_g17s	floor_buf4_bf16	1600
r92_floor	applegpu_g17s	floor_buf4_bf16_simd	1664
r92_encoding	applegpu_g16s	e_null	1600
r92_encoding	applegpu_g16s	e_ffma_032	1840
r92_encoding	applegpu_g16s	e_ffma_064	2032
r92_encoding	applegpu_g16s	e_ffma_128	2416
r92_encoding	applegpu_g16s	e_fadd_032	1760
r92_encoding	applegpu_g16s	e_fadd_064	1888
r92_encoding	applegpu_g16s	e_fadd_128	2144
r92_encoding	applegpu_g16s	e_fimm_032	1888
r92_encoding	applegpu_g16s	e_fimm_064	2240
r92_encoding	applegpu_g16s	e_fimm_128	2944
r92_encoding	applegpu_g16s	e_imad_032	2032
r92_encoding	applegpu_g16s	e_imad_064	2416
r92_encoding	applegpu_g16s	e_imad_128	3184
r92_encoding	applegpu_g17s	e_null	1584
r92_encoding	applegpu_g17s	e_ffma_032	1824
r92_encoding	applegpu_g17s	e_ffma_064	2016
r92_encoding	applegpu_g17s	e_ffma_128	2400
r92_encoding	applegpu_g17s	e_fadd_032	1744
r92_encoding	applegpu_g17s	e_fadd_064	1872
r92_encoding	applegpu_g17s	e_fadd_128	2128
r92_encoding	applegpu_g17s	e_fimm_032	1872
r92_encoding	applegpu_g17s	e_fimm_064	2224
r92_encoding	applegpu_g17s	e_fimm_128	2928
r92_encoding	applegpu_g17s	e_imad_032	2080
r92_encoding	applegpu_g17s	e_imad_064	2528
r92_encoding	applegpu_g17s	e_imad_128	3424
r92_decode	applegpu_g16s	custom_kernel_laguna_dense_down_residual_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2944
r92_decode	applegpu_g17s	custom_kernel_laguna_dense_down_residual_bf16_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t	2752
r92_decode	applegpu_g16s	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	8000
r92_decode	applegpu_g17s	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	8144
